Rugby Union;0
Baseball;0
Chess;1
Rugby League;0
Motorcycling;0
IndyCar;1
Bandy;1
Sumo;1
Australian Rules;1
Netball;1
Nascar;0
Winter Sports;1
Table Tennis;0
Golf;0
Esports eFormula1;0
Bowls;1
Esports eSupercars;0
Esports eNascar;0
888 Specials;0
Ice Hockey;0
Esports eIndyCar;0
Futsal;0
Politics;0
Cycling Track;1
Cricket;1
Darts;1
Esports;0
Cycling;0
Boxing;0
Basketball;0
American Football;0
Football;0
Trotting;1
Floorball;1
Snooker;1
Olympic Games;1
Supercars;1
Speedway;1
Horse Racing;1
Greyhounds;1
Volleyball;1
Winter Olympic Games;1
Rally;0
Formula 1;0
UFC/MMA;0
Water Polo;1
Kung-Volleyball;1
WWE/Pro Wrestling;0
TV & Novelty;0
Handball;0
Gaelic Sports;1
Tennis;0
