549@s.s@Esports@s.s@1141869@s.s@More Markets - Game 1 Handicap +38.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@702222@s.s@Roshan Markets - Map 1 - Team to Slay Next Roshan: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1293987@s.s@More Markets - Game 1 Handicap +50.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@703933@s.s@Round Markets - Map 4 - Round Handicap@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@980435@s.s@More Markets - Game 1 Handicap -4.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1158059@s.s@More Markets - Game 1 Handicap +40.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1193723@s.s@More Markets - Game 3 Handicap +16.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1193309@s.s@More Markets - Game 1 Handicap +41.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1000441@s.s@More Markets - Game 1 Handicap +29.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1141910@s.s@More Markets - Game 1 Handicap +47.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@703984@s.s@Tower Markets - Map 4 - Team to Destroy Next Tower: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@703889@s.s@Match Markets - Map 4 - Winner@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@828502@s.s@Game Totals - Live Game Draw No Bet@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@992690@s.s@More Markets - Game 1 Handicap +32.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1293988@s.s@More Markets - Game 1 Handicap +49.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@993144@s.s@More Markets - Game 1 Handicap -31.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1141867@s.s@More Markets - Game 1 Handicap +37.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1141913@s.s@More Markets - Game 1 Handicap +45.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@705069@s.s@Kills Markets - Map 1 - Team to Score Next Kill: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1293986@s.s@More Markets - Game 1 Handicap +48.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1139741@s.s@More Markets - Game 1 Handicap -43.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1169607@s.s@More Markets - Game 1 Handicap -46.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1141871@s.s@More Markets - Game 1 Handicap +42.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@703922@s.s@Rounds - Live Map 1 Total Number Of Rounds@s.s@0@s.s@["Over 26.5","Under 26.5"]
549@s.s@Esports@s.s@708980@s.s@Kills Markets - Map 5 - Team to Score Next Kill: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1193327@s.s@More Markets - Game 1 Handicap +43.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@980223@s.s@More Markets - Game 1 Handicap +10.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1193744@s.s@More Markets - Game 3 Handicap +11.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@980913@s.s@More Markets - Game 1 Handicap -32.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1141878@s.s@More Markets - Game 1 Handicap +44.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@703996@s.s@Roshan Markets - Map 4 - Team to Slay Next Roshan: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@993114@s.s@More Markets - Game 1 Handicap -21.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@980753@s.s@More Markets - Game 1 Handicap -16.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1293981@s.s@More Markets - Game 1 Handicap +46.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@702212@s.s@Match Markets - Match Winner (1X2)@s.s@0@s.s@["1","X"]
549@s.s@Esports@s.s@68381820@s.s@More Markets - Game 1 Handicap -47.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@704011@s.s@Kills Markets - Map 2 - Team to Score the Most Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291386@s.s@More Markets - Map 5 Team to Score the Most Kills@s.s@0@s.s@["1","X","2"]
549@s.s@Esports@s.s@90291379@s.s@Barracks - Map 4 Team to Destroy the First Barrack@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291380@s.s@Barracks - Map 5 Team to Destroy the First Barrack@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291382@s.s@180´s - Map 4 Winner@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291383@s.s@180´s - Map 5 Winner@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291385@s.s@More Markets - Map 4 Team to Score the Most Kills@s.s@0@s.s@["1","X","2"]
549@s.s@Esports@s.s@90291396@s.s@Kills Markets - Map 4 Race To Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291397@s.s@Kills Markets - Map 5 Team to Score the First Kill@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@90291398@s.s@Kills Markets - Map 5 Race To Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@69561406@s.s@Kills Markets - Map 3 Team to Score the First Kill@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@992692@s.s@More Markets - Game 1 Handicap +28.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@828281@s.s@Team to score - Game 1 Team To Score Goal 1@s.s@0@s.s@["1","2","Neither"]
549@s.s@Esports@s.s@68378198@s.s@More Markets - Game 1 Handicap -50.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339846@s.s@Map 1 - Map 1 - Round Handicap@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@80480801@s.s@Map 2 - Map 2 Total Kills Scored Over/Under@s.s@0@s.s@["Over 25.5","Under 25.5"]
549@s.s@Esports@s.s@703975@s.s@Inhibitor Markets - Map 2 - Team to Destroy Next Inhibitor: 1@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339845@s.s@Kills Markets - Map 2 Race To 10 Kills@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@1169529@s.s@More Markets - Game 1 Handicap -44.5@s.s@0@s.s@["1","2"]
549@s.s@Esports@s.s@58339844@s.s@Kills Markets - Map 2 Race To 15 Kills@s.s@0@s.s@["1","2"]
