Baloncesto;0
Tenis;0
Fútbol;0
Rugby Union;0
Boxeo;0
Golf;0
Fútbol Americano;0
eSports;0
Ciclismo;0
World Rally;0
Loterías;1
Pelota;1
Snooker;1
Artes Marciales (UFC/MMA);0
Balonmano;0
Tenis de mesa;0
Hockey Hielo;0
Voleibol;1
Hockey sobre hielo;0
Fútbol Sala;0
Béisbol;0
Dardos;1
Voley Playa;1
Motor;0
Fútbol sala;0
Hockey sobre Hielo;0
Rugby;0
Formula 1;0
Bádminton;1
Fútbol Reglas Australianas;1
Cuotas Especiales;0
Bolos;1
Billar;1
Rugby League;0
Table Tennis;0
;0
Horse Racing;1
eSports FIFA;0
Galgos;1
Caballos;1
