143@s.s@Football@s.s@1524246@s.s@Kasımpaşa To Score - 1st Half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@46905323@s.s@Montedio Yamagata to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@27929177@s.s@Total Shots on Target by Liverpool@s.s@0@s.s@["Over 6.5","Under 6.5"]
143@s.s@Football@s.s@27973685@s.s@Total Goals by Venezia - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@27973683@s.s@Total Goals by Venezia - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@18619628@s.s@Genoa to win to nil@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@27973674@s.s@Total Goals by FC Schaffhausen - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@55046126@s.s@Gnistan to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@56254917@s.s@FF Jaro to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@38949@s.s@Method of scoring next Goal 5 - (No goal, No bet)@s.s@0@s.s@["Shot inside the box","Shot outside the box","Header","Penalty","Free Kick","Own Goal"]
143@s.s@Football@s.s@55046129@s.s@Gnistan to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@56254918@s.s@FF Jaro to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1521432@s.s@Total Goals by FF Jaro@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@18950112@s.s@Total Goals by Gnistan@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1522053@s.s@Benfica given a Red Card@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@36028495@s.s@Total Cards - Benfica@s.s@0@s.s@["Over 2.5","Under 2.5"]
143@s.s@Football@s.s@1528442@s.s@Total Cards - Marítimo Funchal@s.s@0@s.s@["Over 3.5","Under 3.5"]
143@s.s@Football@s.s@98718068@s.s@Total Goals by Sturt Lions Reserves@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@7277576@s.s@Total Goals by Hilal Al-Quds - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133329@s.s@Total Goals by Ashfield SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133335@s.s@Total Goals by Floreat Athena SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133333@s.s@Total Goals by Armadale SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133332@s.s@Total Goals by Armadale SC - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1553904@s.s@FC Espoo to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@98718067@s.s@Total Goals by Adelaide Victory Reserves - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@21206046@s.s@Bangu-RJ To Score - 1st Half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1553911@s.s@GrIFK to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1553908@s.s@Total Goals by FC Espoo@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@74037050@s.s@Saipa Karaj FC to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@7277581@s.s@Total Goals by Taraji Wadi Al-Nes - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@7277579@s.s@Total Goals by Taraji Wadi Al-Nes - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@7277580@s.s@Total Goals by Shabab Alsamu - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1553905@s.s@FC Espoo to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@18614707@s.s@Total Goals by Bangu-RJ Odd/Even@s.s@0@s.s@["Odd","Even"]
143@s.s@Football@s.s@1525293@s.s@Mjällby AIF to win to nil@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1527594@s.s@Total Goals by B36 Tórshavn 2@s.s@0@s.s@["Over 2.5","Under 2.5"]
143@s.s@Football@s.s@80645080@s.s@Total Goals by Swansea City - 0:00-29:59@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@27241176@s.s@Total Goals by AB Argir II - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@25438910@s.s@Total Goals by AB Argir II@s.s@0@s.s@["Over 2.5","Under 2.5"]
143@s.s@Football@s.s@27241177@s.s@Total Goals by AB Argir II - 1st Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@27708113@s.s@Total Goals by Cosenza - 2nd Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@27708115@s.s@Total Goals by Cosenza - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@27708118@s.s@Total Goals by Livorno - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@27708120@s.s@Total Goals by Livorno - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1525288@s.s@Mjällby AIF to win at least one half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@27708142@s.s@Total Goals by Juve Stabia - 2nd Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@27708144@s.s@Total Goals by Juve Stabia - 1st Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@10614@s.s@Team to go through@s.s@0@s.s@["1","2"]
143@s.s@Football@s.s@1528549@s.s@Brann To Score - 2nd Half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@97197800@s.s@Total Goals by Charlton Athletic - 0:00-29:59@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@80645077@s.s@Total Goals by Millwall - 0:00-29:59@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@9331397@s.s@Total Goals by Warta Poznań - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1525292@s.s@Mjällby AIF to win both halves@s.s@0@s.s@["Yes"]
143@s.s@Football@s.s@1525306@s.s@Total Goals by Mjällby AIF@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1525289@s.s@Mjällby AIF to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1525615@s.s@GIF Sundsvall to win to nil@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@79862555@s.s@Total Goals by Niroye Zamini@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@79862556@s.s@Niroye Zamini to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@11280544@s.s@Total Goals by Kohtla-Jarve JK Jarve II@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@27456368@s.s@Total Goals by Brighton & Hove Albion - 30:00-59:59@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133297@s.s@Total Goals by Stirling Lions SC - 2nd Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99133298@s.s@Total Goals by Stirling Lions SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133299@s.s@Total Goals by Quinns FC - 1st Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99133278@s.s@Total Goals by FC Imabari - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133284@s.s@Total Goals by FC Imabari - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133277@s.s@Total Goals by Roasso Kumamoto - 1st Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99133308@s.s@Total Goals by Inglewood United - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133309@s.s@Total Goals by Inglewood United - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133311@s.s@Total Goals by Gwelup Croatia - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@6734556@s.s@Dalum to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@2462842@s.s@Total Cards - Cherno More Varna@s.s@0@s.s@["Over 2.5","Under 2.5"]
143@s.s@Football@s.s@2462837@s.s@Total Corners by Vitosha Bistritsa@s.s@0@s.s@["Over 3.5","Under 3.5"]
143@s.s@Football@s.s@99133310@s.s@Total Goals by Gwelup Croatia - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99096841@s.s@Total Goals by Cockburn City SC - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99096843@s.s@Total Goals by Cockburn City SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@5040747@s.s@Total Goals by Gyeongju KHNP@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99096844@s.s@Total Goals by ECU Joondalup SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99096862@s.s@Total Goals by Perth Glory U21 - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@9853785@s.s@Total Goals by Boavista - 2nd Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@1524894@s.s@Waldhof Mannheim To Score - 1st Half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1524884@s.s@Waldhof Mannheim to win at least one half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@99096863@s.s@Total Goals by Perth Glory U21 - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@5040746@s.s@Gyeongju KHNP to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@95834154@s.s@Yangju Citizen to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@1956194@s.s@Cherno More Varna To Score - 1st Half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@95834153@s.s@Total Goals by Yangju Citizen@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99163105@s.s@Total Goals by Vipers FC Reserves - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@1522319@s.s@Maardu Linnameeskond to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@99163104@s.s@Total Goals by Playford City Patriots Reserves - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99163102@s.s@Total Goals by Vipers FC Reserves - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@9832976@s.s@Total Goals by NŠ Mura - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133291@s.s@Total Goals by Forrestfield United SC - 2nd Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99133290@s.s@Total Goals by Forrestfield United SC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133316@s.s@Total Goals by Rockingham City - 2nd Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99133315@s.s@Total Goals by Sorrento FC - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@99096861@s.s@Total Goals by Balcatta - 1st Half@s.s@0@s.s@["Over 1.5","Under 1.5"]
143@s.s@Football@s.s@99133314@s.s@Total Goals by Rockingham City - 1st Half@s.s@0@s.s@["Over 0.5","Under 0.5"]
143@s.s@Football@s.s@18619623@s.s@Genoa to win at least one half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@18619624@s.s@Genoa to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@18619626@s.s@Genoa to Score in both halves@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@18619645@s.s@Udinese to win and both teams to score@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@18619647@s.s@Udinese to win at least one half@s.s@0@s.s@["Yes","No"]
143@s.s@Football@s.s@65961318@s.s@Total Shots on Target by Fiorentina@s.s@0@s.s@["Over 4.5","Under 4.5"]
143@s.s@Football@s.s@22082224@s.s@Total Shots on Target by Parma@s.s@0@s.s@["Over 3.5","Under 3.5"]
143@s.s@Football@s.s@65961315@s.s@Total Shots by Fiorentina@s.s@0@s.s@["Over 10.5","Under 10.5"]
