8@s.s@Soccer@s.s@639020@s.s@Man Utd [Pele Warriors]@s.s@0
8@s.s@Soccer@s.s@643511@s.s@TEST 3@s.s@0
8@s.s@Soccer@s.s@526461@s.s@Ajax [W] [AM]@s.s@0
8@s.s@Soccer@s.s@639023@s.s@FOC Farsta@s.s@0
8@s.s@Soccer@s.s@639017@s.s@Chelsea [NyanCat FC]@s.s@0
8@s.s@Soccer@s.s@519062@s.s@Lozovatka@s.s@0
8@s.s@Soccer@s.s@538129@s.s@Burundi Sport Dynamik@s.s@0
8@s.s@Soccer@s.s@555505@s.s@AC Primavera@s.s@0
8@s.s@Soccer@s.s@639021@s.s@Wexio FK@s.s@0
8@s.s@Soccer@s.s@519063@s.s@Melitopolskaya Chereshnya@s.s@0
8@s.s@Soccer@s.s@639019@s.s@Bayern Munchen [Vega Squadron]@s.s@0
8@s.s@Soccer@s.s@548783@s.s@Fittja IF@s.s@0
8@s.s@Soccer@s.s@546004@s.s@Lilla Traslovs FF@s.s@0
8@s.s@Soccer@s.s@625984@s.s@Ilves@s.s@0
8@s.s@Soccer@s.s@643512@s.s@TEST 4@s.s@0
8@s.s@Soccer@s.s@522519@s.s@Blue Bullets FC@s.s@0
8@s.s@Soccer@s.s@519064@s.s@FC Berdyansk@s.s@0
8@s.s@Soccer@s.s@648199@s.s@Ajax [Gambit Esports]@s.s@0
8@s.s@Soccer@s.s@519065@s.s@FC Tavriya Skif Rozdol@s.s@0
8@s.s@Soccer@s.s@657113@s.s@FC Harlanda@s.s@0
8@s.s@Soccer@s.s@548784@s.s@IFK Haninge U19@s.s@0
8@s.s@Soccer@s.s@645367@s.s@Lars-Jorgen Salvesen@s.s@0
8@s.s@Soccer@s.s@515774@s.s@Gremio [AM]@s.s@0
8@s.s@Soccer@s.s@526474@s.s@Bujumbura City@s.s@0
8@s.s@Soccer@s.s@515775@s.s@Palmeiras [AM]@s.s@0
8@s.s@Soccer@s.s@519556@s.s@Den Haag [AM]@s.s@0
8@s.s@Soccer@s.s@657114@s.s@SK Argo@s.s@0
8@s.s@Soccer@s.s@518375@s.s@AZ [AM]@s.s@0
8@s.s@Soccer@s.s@653532@s.s@Bayern [Mr.Jab]@s.s@0
8@s.s@Soccer@s.s@643734@s.s@Wolfsburg [Royal Bears]@s.s@0
8@s.s@Soccer@s.s@653533@s.s@Bayer 04 Leverkusen [Bombi1t0]@s.s@0
8@s.s@Soccer@s.s@629220@s.s@Sodra Vings IF@s.s@0
8@s.s@Soccer@s.s@629219@s.s@Byttorps IF@s.s@0
8@s.s@Soccer@s.s@526475@s.s@Bumamuru FC@s.s@0
8@s.s@Soccer@s.s@522518@s.s@Young Stars FC@s.s@0
8@s.s@Soccer@s.s@639016@s.s@Arsenal [Tundra]@s.s@0
8@s.s@Soccer@s.s@645366@s.s@Mostafa Abdellaoue@s.s@0
8@s.s@Soccer@s.s@555504@s.s@Syrianska Eskilstuna IF@s.s@0
8@s.s@Soccer@s.s@522168@s.s@Lokomotiv 2002 Samara@s.s@0
8@s.s@Soccer@s.s@538130@s.s@Aigle Noir@s.s@0
8@s.s@Soccer@s.s@645365@s.s@Daouda Bamba@s.s@0
8@s.s@Soccer@s.s@522169@s.s@Iskra Utevka@s.s@0
8@s.s@Soccer@s.s@526011@s.s@Atuabo FC@s.s@0
8@s.s@Soccer@s.s@521789@s.s@Eskilsminne IF@s.s@0
8@s.s@Soccer@s.s@522170@s.s@Mekhta@s.s@0
8@s.s@Soccer@s.s@522171@s.s@Batya Novokujbyshevsk@s.s@0
8@s.s@Soccer@s.s@526012@s.s@Tarkwa United@s.s@0
8@s.s@Soccer@s.s@522172@s.s@Lokomotiv Samara@s.s@0
8@s.s@Soccer@s.s@526460@s.s@Wolfsburg [W] [AM]@s.s@0
8@s.s@Soccer@s.s@639022@s.s@Sollentuna United@s.s@0
8@s.s@Soccer@s.s@546003@s.s@IF Boljan@s.s@0
8@s.s@Soccer@s.s@632372@s.s@CSKA Pamir Dushanbe@s.s@0
8@s.s@Soccer@s.s@639018@s.s@Barcelona [Catalonia FC]@s.s@0
8@s.s@Soccer@s.s@544267@s.s@Burea IF@s.s@0
8@s.s@Soccer@s.s@654616@s.s@AS Roma [FC Dimonchello]@s.s@0
8@s.s@Soccer@s.s@543975@s.s@Gillberga Lista IF@s.s@0
8@s.s@Soccer@s.s@543976@s.s@Baggetorps IF@s.s@0
8@s.s@Soccer@s.s@554879@s.s@Tyreso FF@s.s@0
8@s.s@Soccer@s.s@339@s.s@Cologne@s.s@0
8@s.s@Soccer@s.s@594@s.s@Braga@s.s@0
8@s.s@Soccer@s.s@2201@s.s@Dynamo Moscú@s.s@0
8@s.s@Soccer@s.s@2538@s.s@Dynamo Moscow@s.s@0
8@s.s@Soccer@s.s@2274@s.s@Bodo Glimt@s.s@0
8@s.s@Soccer@s.s@507693@s.s@Skala Samara@s.s@0
8@s.s@Soccer@s.s@496025@s.s@Zeljko Buvac@s.s@0
8@s.s@Soccer@s.s@497526@s.s@Nagan Samara@s.s@0
8@s.s@Soccer@s.s@496036@s.s@Rafa Benitez@s.s@0
8@s.s@Soccer@s.s@496034@s.s@Joachim Low@s.s@0
8@s.s@Soccer@s.s@630683@s.s@Dinamo Living Air@s.s@0
8@s.s@Soccer@s.s@496026@s.s@Leonardo Jardim@s.s@0
8@s.s@Soccer@s.s@630682@s.s@Libertas Minsk@s.s@0
8@s.s@Soccer@s.s@496027@s.s@Jose Mourinho@s.s@0
8@s.s@Soccer@s.s@496028@s.s@Robbie Fowler@s.s@0
8@s.s@Soccer@s.s@521337@s.s@IFK Malmo@s.s@0
8@s.s@Soccer@s.s@496029@s.s@Ole Gunnar Solskjaer@s.s@0
8@s.s@Soccer@s.s@521336@s.s@Lunds BK@s.s@0
8@s.s@Soccer@s.s@521335@s.s@FC Djursholm@s.s@0
8@s.s@Soccer@s.s@498791@s.s@FC Polet Samara@s.s@0
8@s.s@Soccer@s.s@523706@s.s@Les Lierres@s.s@0
8@s.s@Soccer@s.s@523707@s.s@Athletico Olympic@s.s@0
8@s.s@Soccer@s.s@523708@s.s@Vitalo@s.s@0
8@s.s@Soccer@s.s@521334@s.s@IFK Tumba FK@s.s@0
8@s.s@Soccer@s.s@496052@s.s@Rio Ferdinand@s.s@0
8@s.s@Soccer@s.s@647392@s.s@Gambit Esports@s.s@0
8@s.s@Soccer@s.s@507694@s.s@Yuzhniy@s.s@0
8@s.s@Soccer@s.s@497529@s.s@Legion Samara@s.s@0
8@s.s@Soccer@s.s@523709@s.s@Le Messager Ngozi@s.s@0
8@s.s@Soccer@s.s@496037@s.s@Ralph Hasenhuttl@s.s@0
8@s.s@Soccer@s.s@643082@s.s@NTNU Uni [W]@s.s@0
8@s.s@Soccer@s.s@498790@s.s@Kodr Shantola@s.s@0
8@s.s@Soccer@s.s@503608@s.s@Asa IF@s.s@0
8@s.s@Soccer@s.s@496043@s.s@Sean Dyche@s.s@0
8@s.s@Soccer@s.s@496042@s.s@Quique Setien@s.s@0
8@s.s@Soccer@s.s@496041@s.s@Ernesto Valverde@s.s@0
8@s.s@Soccer@s.s@496040@s.s@Maurizio Sarri@s.s@0
8@s.s@Soccer@s.s@505222@s.s@Granit Moscow@s.s@0
8@s.s@Soccer@s.s@505221@s.s@Setun Kuntsevo@s.s@0
8@s.s@Soccer@s.s@503607@s.s@Sandarna BK@s.s@0
8@s.s@Soccer@s.s@504481@s.s@Choma Dam@s.s@0
8@s.s@Soccer@s.s@496039@s.s@Jurgen Klopp@s.s@0
8@s.s@Soccer@s.s@503606@s.s@Sleipner@s.s@0
8@s.s@Soccer@s.s@503605@s.s@Aby IF@s.s@0
8@s.s@Soccer@s.s@524873@s.s@Avangard Moscow@s.s@0
8@s.s@Soccer@s.s@496013@s.s@Chris Wilder@s.s@0
8@s.s@Soccer@s.s@496012@s.s@Gary Neville@s.s@0
8@s.s@Soccer@s.s@503604@s.s@Skegrie BK@s.s@0
8@s.s@Soccer@s.s@503603@s.s@Uppakra IF@s.s@0
8@s.s@Soccer@s.s@524872@s.s@Khazar Lankaran Moscow II@s.s@0
8@s.s@Soccer@s.s@507696@s.s@Rus Samara@s.s@0
8@s.s@Soccer@s.s@496038@s.s@Roberto Martinez@s.s@0
8@s.s@Soccer@s.s@496024@s.s@Antonio Conte@s.s@0
8@s.s@Soccer@s.s@496033@s.s@Didier Deschamps@s.s@0
8@s.s@Soccer@s.s@561838@s.s@Storebro IF@s.s@0
8@s.s@Soccer@s.s@496011@s.s@Ryan Giggs@s.s@0
8@s.s@Soccer@s.s@496056@s.s@Harry Redknapp@s.s@0
8@s.s@Soccer@s.s@507695@s.s@Stalkom@s.s@0
8@s.s@Soccer@s.s@536861@s.s@Minsk Team@s.s@0
8@s.s@Soccer@s.s@496044@s.s@Phil Neville@s.s@0
8@s.s@Soccer@s.s@642907@s.s@Ming Chuan Uni@s.s@0
8@s.s@Soccer@s.s@496050@s.s@Sam Allardyce@s.s@0
8@s.s@Soccer@s.s@496051@s.s@Steve Bruce@s.s@0
8@s.s@Soccer@s.s@642906@s.s@Taiwán Uni@s.s@0
8@s.s@Soccer@s.s@548706@s.s@Wassa Agona Stars@s.s@0
8@s.s@Soccer@s.s@496017@s.s@Frank Lampard@s.s@0
8@s.s@Soccer@s.s@496018@s.s@Graham Potter@s.s@0
8@s.s@Soccer@s.s@496019@s.s@Pep Lijnders@s.s@0
8@s.s@Soccer@s.s@496020@s.s@Xabi Alonso@s.s@0
8@s.s@Soccer@s.s@496021@s.s@Thomas Tuchel@s.s@0
8@s.s@Soccer@s.s@548707@s.s@Dompim Golden Stars@s.s@0
8@s.s@Soccer@s.s@496022@s.s@Diego Simeone@s.s@0
8@s.s@Soccer@s.s@496023@s.s@James Milner@s.s@0
8@s.s@Soccer@s.s@519262@s.s@Venlo [AM]@s.s@0
8@s.s@Soccer@s.s@497119@s.s@Legenda Minsk@s.s@0
8@s.s@Soccer@s.s@518582@s.s@Borussia [AM]@s.s@0
8@s.s@Soccer@s.s@496016@s.s@Steven Gerrard@s.s@0
8@s.s@Soccer@s.s@496015@s.s@Eric Cantona@s.s@0
8@s.s@Soccer@s.s@497120@s.s@Tretiy Time@s.s@0
8@s.s@Soccer@s.s@497121@s.s@Orbita Minsk@s.s@0
8@s.s@Soccer@s.s@518583@s.s@Bayern [AM]@s.s@0
8@s.s@Soccer@s.s@497122@s.s@Union Minsk@s.s@0
8@s.s@Soccer@s.s@548708@s.s@Rospa Park FC@s.s@0
8@s.s@Soccer@s.s@497971@s.s@FC Groningen [AM]@s.s@0
8@s.s@Soccer@s.s@496582@s.s@Orebro U21@s.s@0
8@s.s@Soccer@s.s@496055@s.s@Alan Shearer@s.s@0
8@s.s@Soccer@s.s@496014@s.s@Pep Guardiola@s.s@0
8@s.s@Soccer@s.s@496811@s.s@Tomelilla IF@s.s@0
8@s.s@Soccer@s.s@642502@s.s@FC Tornado Minsk@s.s@0
8@s.s@Soccer@s.s@496812@s.s@Lunds BK U19@s.s@0
8@s.s@Soccer@s.s@496049@s.s@Roy Hodgson@s.s@0
8@s.s@Soccer@s.s@19544@s.s@Kosovo@s.s@0
8@s.s@Soccer@s.s@496048@s.s@David Moyes@s.s@0
8@s.s@Soccer@s.s@496047@s.s@David Beckham@s.s@0
8@s.s@Soccer@s.s@496046@s.s@Aidy Boothroyd@s.s@0
8@s.s@Soccer@s.s@496045@s.s@Dean Smith@s.s@0
8@s.s@Soccer@s.s@497528@s.s@Signora Samara@s.s@0
8@s.s@Soccer@s.s@497527@s.s@Utopiya Samara@s.s@0
8@s.s@Soccer@s.s@507691@s.s@Prometey@s.s@0
8@s.s@Soccer@s.s@496035@s.s@Daniel Farke@s.s@0
8@s.s@Soccer@s.s@496053@s.s@Alan Pardew@s.s@0
8@s.s@Soccer@s.s@496054@s.s@Sol Campbell@s.s@0
8@s.s@Soccer@s.s@561837@s.s@Haradsbacks IF@s.s@0
8@s.s@Soccer@s.s@507692@s.s@Samara United@s.s@0
8@s.s@Soccer@s.s@495961@s.s@Torpedo Zhodino@s.s@0
8@s.s@Soccer@s.s@497525@s.s@Young Boys Samara@s.s@0
8@s.s@Soccer@s.s@495967@s.s@Slavia Mozyr@s.s@0
8@s.s@Soccer@s.s@495963@s.s@FC Rukh Brest@s.s@0
8@s.s@Soccer@s.s@526604@s.s@Djursdala SK@s.s@0
8@s.s@Soccer@s.s@495965@s.s@Dinamo Brest@s.s@0
8@s.s@Soccer@s.s@495993@s.s@AEL Limassol@s.s@0
8@s.s@Soccer@s.s@496583@s.s@Rynninge IK@s.s@0
8@s.s@Soccer@s.s@495990@s.s@Apollon Limassol@s.s@0
8@s.s@Soccer@s.s@526605@s.s@Ankarsrums IS@s.s@0
8@s.s@Soccer@s.s@496058@s.s@Jamie Carragher@s.s@0
8@s.s@Soccer@s.s@647393@s.s@EZ1D 11@s.s@0
8@s.s@Soccer@s.s@495945@s.s@IFK Norrkoping@s.s@0
8@s.s@Soccer@s.s@496281@s.s@Inter City@s.s@0
8@s.s@Soccer@s.s@504480@s.s@Nelstars FC@s.s@0
8@s.s@Soccer@s.s@647394@s.s@Paris St-Germain [Shemyakin Onze]@s.s@0
8@s.s@Soccer@s.s@522399@s.s@Tokyo [AM]@s.s@0
8@s.s@Soccer@s.s@522400@s.s@Osaka [AM]@s.s@0
8@s.s@Soccer@s.s@629189@s.s@CSKA Team [AM]@s.s@0
8@s.s@Soccer@s.s@629190@s.s@Tbilisi Team [AM]@s.s@0
8@s.s@Soccer@s.s@519602@s.s@Faculty of Art [AM]@s.s@0
8@s.s@Soccer@s.s@519601@s.s@Faculty of Geo [AM]@s.s@0
8@s.s@Soccer@s.s@495966@s.s@FK Vigvam Smolevichy@s.s@0
8@s.s@Soccer@s.s@495962@s.s@Belshina Bobruisk@s.s@0
8@s.s@Soccer@s.s@496030@s.s@Giovanni van Bronckhorst@s.s@0
8@s.s@Soccer@s.s@496031@s.s@Erik ten Hag@s.s@0
8@s.s@Soccer@s.s@496032@s.s@Mikel Arteta@s.s@0
8@s.s@Soccer@s.s@517547@s.s@Oddevold@s.s@0
8@s.s@Soccer@s.s@517546@s.s@Qviding FIF@s.s@0
8@s.s@Soccer@s.s@496057@s.s@Paul Scholes@s.s@0
8@s.s@Soccer@s.s@497524@s.s@Metallurg Samara@s.s@0
8@s.s@Soccer@s.s@507689@s.s@Olimp Samara@s.s@0
8@s.s@Soccer@s.s@507690@s.s@Miko Samara@s.s@0
8@s.s@Soccer@s.s@2238@s.s@Piast Gliwice@s.s@0
8@s.s@Soccer@s.s@543648@s.s@Hestrafors IF@s.s@0
8@s.s@Soccer@s.s@544168@s.s@Metallurg Moscow@s.s@0
8@s.s@Soccer@s.s@544167@s.s@FK Konkord Moscow@s.s@0
8@s.s@Soccer@s.s@657346@s.s@JJK Jyvaskyla@s.s@0
8@s.s@Soccer@s.s@544166@s.s@FK Bars Moscow@s.s@0
8@s.s@Soccer@s.s@543977@s.s@Ekenassjon IF@s.s@0
8@s.s@Soccer@s.s@544165@s.s@FC Kraskovo@s.s@0
8@s.s@Soccer@s.s@544164@s.s@Zenit Moscow@s.s@0
8@s.s@Soccer@s.s@543647@s.s@Skene IF@s.s@0
8@s.s@Soccer@s.s@544264@s.s@Nika Moscow@s.s@0
8@s.s@Soccer@s.s@657345@s.s@HJK Helsinki@s.s@0
8@s.s@Soccer@s.s@544265@s.s@Real Sport Moscow@s.s@0
8@s.s@Soccer@s.s@544266@s.s@Medle SK@s.s@0
8@s.s@Soccer@s.s@544169@s.s@Khazar Lankaran Moscow@s.s@0
8@s.s@Soccer@s.s@653753@s.s@Rinkeby United@s.s@0
8@s.s@Soccer@s.s@495934@s.s@Hammarby@s.s@0
8@s.s@Soccer@s.s@495935@s.s@Kalmar@s.s@0
8@s.s@Soccer@s.s@495936@s.s@Helsingborg@s.s@0
8@s.s@Soccer@s.s@495937@s.s@Varbergs BoIS@s.s@0
8@s.s@Soccer@s.s@495938@s.s@Sirius@s.s@0
8@s.s@Soccer@s.s@495939@s.s@Falkenbergs@s.s@0
8@s.s@Soccer@s.s@495940@s.s@Orebro@s.s@0
8@s.s@Soccer@s.s@495941@s.s@Djurgardens@s.s@0
8@s.s@Soccer@s.s@495942@s.s@Ostersunds FK@s.s@0
8@s.s@Soccer@s.s@495943@s.s@Mjallby AIF@s.s@0
8@s.s@Soccer@s.s@495944@s.s@AIK Solna@s.s@0
8@s.s@Soccer@s.s@495946@s.s@Umea FC@s.s@0
8@s.s@Soccer@s.s@495947@s.s@Dalkurd FF@s.s@0
8@s.s@Soccer@s.s@495948@s.s@Trelleborgs@s.s@0
8@s.s@Soccer@s.s@495949@s.s@Orgryte@s.s@0
8@s.s@Soccer@s.s@495951@s.s@IK Brage@s.s@0
8@s.s@Soccer@s.s@495952@s.s@Akropolis IF@s.s@0
8@s.s@Soccer@s.s@495950@s.s@Oster@s.s@0
8@s.s@Soccer@s.s@495953@s.s@Degerfors IF@s.s@0
8@s.s@Soccer@s.s@495954@s.s@Norrby IF@s.s@0
8@s.s@Soccer@s.s@495955@s.s@GAIS Goteborg@s.s@0
