16@s.s@Basketball@s.s@34500286@s.s@Baskonia Vitoria Gasteiz@s.s@0
16@s.s@Basketball@s.s@986@s.s@Miami Heat@s.s@0
16@s.s@Basketball@s.s@985@s.s@Milwaukee Bucks@s.s@0
16@s.s@Basketball@s.s@984@s.s@Memphis Grizzlies@s.s@0
16@s.s@Basketball@s.s@983@s.s@Golden State Warriors@s.s@0
16@s.s@Basketball@s.s@982@s.s@Sacramento Kings@s.s@0
16@s.s@Basketball@s.s@981@s.s@Phoenix Suns@s.s@0
16@s.s@Basketball@s.s@980@s.s@New Orleans Pelicans@s.s@0
16@s.s@Basketball@s.s@979@s.s@San Antonio Spurs@s.s@0
16@s.s@Basketball@s.s@978@s.s@Portland Trailblazers@s.s@0
16@s.s@Basketball@s.s@977@s.s@Dallas Mavericks@s.s@0
16@s.s@Basketball@s.s@976@s.s@Utah Jazz@s.s@0
16@s.s@Basketball@s.s@975@s.s@Denver Nuggets@s.s@0
16@s.s@Basketball@s.s@974@s.s@LA Lakers@s.s@0
16@s.s@Basketball@s.s@973@s.s@LA Clippers@s.s@0
16@s.s@Basketball@s.s@972@s.s@Houston Rockets@s.s@0
16@s.s@Basketball@s.s@971@s.s@Oklahoma City Thunder@s.s@0
16@s.s@Basketball@s.s@970@s.s@Portland Trail Blazers@s.s@0
16@s.s@Basketball@s.s@969@s.s@Minnesota Timberwolves@s.s@0
16@s.s@Basketball@s.s@968@s.s@Boston Celtics@s.s@0
16@s.s@Basketball@s.s@967@s.s@Philadelphia 76ers@s.s@0
16@s.s@Basketball@s.s@966@s.s@Cleveland Cavaliers@s.s@0
16@s.s@Basketball@s.s@965@s.s@Detroit Pistons@s.s@0
16@s.s@Basketball@s.s@964@s.s@Olympiacos Piraeus@s.s@0
16@s.s@Basketball@s.s@963@s.s@Anadolu Efes@s.s@0
16@s.s@Basketball@s.s@962@s.s@Estrella Roja@s.s@0
16@s.s@Basketball@s.s@961@s.s@Asvel Villeurbanne@s.s@0
16@s.s@Basketball@s.s@960@s.s@CSKA Moscú@s.s@0
16@s.s@Basketball@s.s@959@s.s@FC Bayern Munchen@s.s@0
16@s.s@Basketball@s.s@958@s.s@BC Zenit Saint Petersburg@s.s@0
16@s.s@Basketball@s.s@957@s.s@Khimki Moscow Region@s.s@0
16@s.s@Basketball@s.s@956@s.s@Zalgiris@s.s@0
16@s.s@Basketball@s.s@955@s.s@Fenerbahçe@s.s@0
16@s.s@Basketball@s.s@954@s.s@Panathinaikos Athens@s.s@0
16@s.s@Basketball@s.s@953@s.s@Olimpia Milano@s.s@0
16@s.s@Basketball@s.s@952@s.s@Maccabi Tel Aviv@s.s@0
16@s.s@Basketball@s.s@951@s.s@ALBA Berlin@s.s@0
16@s.s@Basketball@s.s@950@s.s@Joventut@s.s@0
16@s.s@Basketball@s.s@949@s.s@Valencia Basket@s.s@0
16@s.s@Basketball@s.s@948@s.s@Real Madrid@s.s@0
16@s.s@Basketball@s.s@947@s.s@Estudiantes@s.s@0
16@s.s@Basketball@s.s@946@s.s@Real Betis@s.s@0
16@s.s@Basketball@s.s@945@s.s@Fuenlabrada@s.s@0
16@s.s@Basketball@s.s@944@s.s@Baskonia Vitoria@s.s@0
16@s.s@Basketball@s.s@943@s.s@Gran Canaria@s.s@0
16@s.s@Basketball@s.s@942@s.s@Bilbao Basket@s.s@0
16@s.s@Basketball@s.s@941@s.s@F.C. Barcelona@s.s@0
16@s.s@Basketball@s.s@940@s.s@Iberostar Tenerife@s.s@0
16@s.s@Basketball@s.s@939@s.s@Zaragoza Basket@s.s@0
16@s.s@Basketball@s.s@938@s.s@MoraBanc Andorra@s.s@0
16@s.s@Basketball@s.s@937@s.s@Bàsquet Manresa@s.s@0
16@s.s@Basketball@s.s@936@s.s@Unicaja Málaga@s.s@0
16@s.s@Basketball@s.s@935@s.s@UCAM Murcia@s.s@0
16@s.s@Basketball@s.s@934@s.s@CB Miraflores Burgos@s.s@0
16@s.s@Basketball@s.s@933@s.s@Monbus Obradoiro@s.s@0
16@s.s@Basketball@s.s@21558@s.s@NewYorkKnicks@s.s@0
16@s.s@Basketball@s.s@995@s.s@New York Knicks@s.s@0
16@s.s@Basketball@s.s@994@s.s@Washington Wizards@s.s@0
16@s.s@Basketball@s.s@993@s.s@Chicago Bulls@s.s@0
16@s.s@Basketball@s.s@992@s.s@Charlotte Hornets@s.s@0
16@s.s@Basketball@s.s@991@s.s@Atlanta Hawks@s.s@0
16@s.s@Basketball@s.s@990@s.s@Orlando Magic@s.s@0
16@s.s@Basketball@s.s@989@s.s@Brooklyn Nets@s.s@0
16@s.s@Basketball@s.s@988@s.s@Indiana Pacers@s.s@0
16@s.s@Basketball@s.s@987@s.s@Toronto Raptors@s.s@0
19@s.s@American Football@s.s@19219@s.s@Miami Dolphins@s.s@0
19@s.s@American Football@s.s@19194@s.s@Green Bay Packers@s.s@0
19@s.s@American Football@s.s@19202@s.s@Tennessee Titans@s.s@0
19@s.s@American Football@s.s@19220@s.s@Washington Redskins@s.s@0
19@s.s@American Football@s.s@19200@s.s@Los Angeles Rams@s.s@0
19@s.s@American Football@s.s@19216@s.s@New York Jets@s.s@0
19@s.s@American Football@s.s@19212@s.s@Tampa Bay Buccaneers@s.s@0
19@s.s@American Football@s.s@19189@s.s@Baltimore Ravens@s.s@0
19@s.s@American Football@s.s@19206@s.s@Buffalo Bills@s.s@0
19@s.s@American Football@s.s@19211@s.s@Detroit Lions@s.s@0
19@s.s@American Football@s.s@19205@s.s@Houston Texans@s.s@0
19@s.s@American Football@s.s@19197@s.s@Minnesota Vikings@s.s@0
19@s.s@American Football@s.s@19204@s.s@Chicago Bears@s.s@0
19@s.s@American Football@s.s@19218@s.s@Cincinnati Bengals@s.s@0
19@s.s@American Football@s.s@19193@s.s@New England Patriots@s.s@0
19@s.s@American Football@s.s@19191@s.s@San Francisco 49ers@s.s@0
19@s.s@American Football@s.s@19201@s.s@Indianapolis Colts@s.s@0
19@s.s@American Football@s.s@19207@s.s@Cleveland Browns@s.s@0
19@s.s@American Football@s.s@19196@s.s@Dallas Cowboys@s.s@0
19@s.s@American Football@s.s@19217@s.s@New York Giants@s.s@0
19@s.s@American Football@s.s@19198@s.s@Pittsburgh Steelers@s.s@0
19@s.s@American Football@s.s@19215@s.s@Jacksonville Jaguars@s.s@0
19@s.s@American Football@s.s@19190@s.s@Kansas City Chiefs@s.s@0
19@s.s@American Football@s.s@19192@s.s@New Orleans Saints@s.s@0
19@s.s@American Football@s.s@19195@s.s@Philadelphia Eagles@s.s@0
19@s.s@American Football@s.s@19209@s.s@Las Vegas Raiders@s.s@0
19@s.s@American Football@s.s@19208@s.s@Los Angeles Chargers@s.s@0
19@s.s@American Football@s.s@19199@s.s@Seattle Seahawks@s.s@0
19@s.s@American Football@s.s@19203@s.s@Atlanta Falcons@s.s@0
19@s.s@American Football@s.s@19213@s.s@Arizona Cardinals@s.s@0
