1364@s.s@Football@s.s@11038860@s.s@Hellerup IK Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@11038813@s.s@Croatia SRL Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@11038812@s.s@England SRL Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@709442@s.s@2nd Half Team 1 Total Goals@s.s@0@s.s@["Under 0.5","Over 0.5"]
1364@s.s@Football@s.s@714128@s.s@Team 1 Win By Exact  Goal@s.s@0@s.s@["No1","Yes1"]
1364@s.s@Football@s.s@11038842@s.s@Pakhtakor FK Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@11038861@s.s@Aarhus Fremad Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@11038862@s.s@Vanlose IF Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@11003704@s.s@IFK Norrkoping Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@11003705@s.s@Kalmar FF Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@8710033@s.s@Chuncheon FC Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@11023639@s.s@IF Elfsborg Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@7623485@s.s@Levante Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@771139@s.s@The 2nd Goal Will be Scored@s.s@0@s.s@["By Penalty Kick","By Free Kick","No Goal","Own Goal","By Other Method","By Header"]
1364@s.s@Football@s.s@11061163@s.s@LehPa-77 Both Halves Total Over @s.s@0@s.s@["No0.5","Yes0.5"]
1364@s.s@Football@s.s@724849@s.s@Corners: 1st Half Handicap@s.s@0@s.s@["Lazio 1","Torino -1"]
1364@s.s@Football@s.s@724848@s.s@Corners: 1st Half Team 2 Total@s.s@0@s.s@["Under 3","Over 3"]
1364@s.s@Football@s.s@724847@s.s@Corners: 1st Half Team 1 Total@s.s@0@s.s@["Under 3","Over 3"]
1364@s.s@Football@s.s@783122@s.s@Anytime Goalscorer@s.s@0@s.s@["Luiz Felipe","Michel Adopo","Armando Izzo","Lucas Leiva","Denis Vavro","Francesco Acerbi","Bremer","Djavan Anderson","Sasa Lukic","Tomas Rincon","Jordan Lukaku","Lyanco","Ola Aina","Koffi Djidji","Soualiho Meite","Manuel Lazzari","Nicolas Nkoulou","Stefan Radu","Patric Gabarron","Bastos","Luis Alberto","Bobby Adekanye","Simone Zaza","Vincenzo Millico","Sergej Milinkovic-Savic","Felipe Caicedo","Ciro Immobile","Joaquin Correa","Andrea Belotti","Andre Anderson","Danilo Cataldi","Adam Marusic","Lorenzo De Silvestri","Jony","Marco Parolo","Simone Edera","Alex Berenguer","Simone Verdi","Cristian Ansaldi"]
1364@s.s@Football@s.s@772090@s.s@Rest Of The Match (Current Score: 2-3)@s.s@0@s.s@["W2","X","W1"]
1364@s.s@Football@s.s@14101703@s.s@Denizlispor Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@714137@s.s@2nd Half Team 1 Total Goals (Exact)@s.s@0@s.s@["2+","1","0"]
1364@s.s@Football@s.s@10894944@s.s@Orebro Syrianska IF Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@10894945@s.s@Taby FK Both Halves Total Over @s.s@0@s.s@["Yes0.5","No0.5"]
1364@s.s@Football@s.s@714138@s.s@2nd Half Team 2 Total Goals (Exact)@s.s@0@s.s@["2+","1","0"]
